plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,killed.by,mortality,cones.op.cl,cones,seed.source,canopy.str.field,canopy.str,canopy,cone.ct,fire
HU64,64,6/30/2016,CEC0630U1,ne1,pico,D,Y,Y,38,MPB,BOM,closed,closed,no,1.5,full,yes,200,unburned
HU64,64,6/30/2016,CEC0630U1,ne2,pico,D,Y,Y,29.5,MPB,BOM,closed/partial,both,yes,1.5,full,yes,300,unburned
LU66,66,7/3/2016,CEC0703U1,NE10,pico,D,O,Y,10,OPF,BOM,BOTH,both,yes,1,full,yes,10,unburned
LU66,66,7/3/2016,CEC0703U1,NE2,pico,L,L ,L ,10,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,50,unburned
LU66,66,7/3/2016,CEC0703U1,NE3,pico,L,L,L ,11,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,50,unburned
LU66,66,7/3/2016,CEC0703U1,NE9,pico,L,L,L,12,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,75,unburned
LU66,66,7/3/2016,CEC0703U1,NW1,pico,L,live,live,13,LIVE,LIVE,CLOSED,closed,no,live,full,yes,100,unburned
LU66,66,7/3/2016,CEC0703U1,NW2,pico,L,live,live,10,LIVE,LIVE,CLOSED,closed,no,live,full,yes,30,unburned
LU66,66,7/3/2016,CEC0703U1,NW5,pico,L,live,live,7.5,LIVE,LIVE,CLOSED,closed,no,live & 5,full,yes,5,unburned
LU66,66,7/3/2016,CEC0703U1,NW6,pico,L,live,live,11.5,LIVE,LIVE,CLOSED,closed,no,live,full,yes,60,unburned
LU66,66,7/3/2016,CEC0703U1,SE2,pico,L,L,L ,12.5,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,70,unburned
LU66,66,7/3/2016,CEC0703U1,SE4,pico,D,Y,Y,12,MPB,BOM,CLOSED,closed,no,1,full,yes,90,unburned
LU66,66,7/3/2016,CEC0703U1,SE6,pico,L,L,L,9.5,LIVE,LIVE,UNK,unknown,no,1+NEEDLES,full,yes,5,unburned
LU66,66,7/3/2016,CEC0703U1,SE7,pico,D,Y,Y,13,MPB,BOM,CLOSED,closed,no,1+NEEDLES,full,yes,30,unburned
LU66,66,7/3/2016,CEC0703U1,SW2,pico,L,live,live,11,LIVE,LIVE,CLOSED,closed,no,live,full,yes,300,unburned
LU66,66,7/3/2016,CEC0703U1,SW3,pico,L,live,live,9,LIVE,LIVE,NONE,none,no,live,full,yes,0,unburned
LU66,66,7/3/2016,CEC0703U1,SW4,pico,L,live,live,11,LIVE,LIVE,CLOSED,closed,no,live,full,yes,100,unburned
LU66,66,7/3/2016,CEC0703U1,SW5,pico,L,live,live,11,LIVE,LIVE,CLOSED,closed,no,live,full,yes,20,unburned
LU66,66,7/3/2016,CEC0703U1,SW7,pico,L,live,live,14.5,LIVE,LIVE,CLOSED,closed,no,live,full,yes,70,unburned
MU67,67,7/8/2016,CEC0708U1,NE2,pico,D,Y,Y,27.5,MPB,BOM,CLOSED,closed,no,1,full,yes,150,unburned
MU67,67,7/8/2016,CEC0708U1,NW1,pico,D,Y,Y,29.5,MPB,BOM,PARTIAL,both,yes,1,full,yes,300,unburned
MU67,67,7/8/2016,CEC0708U1,SE2,pico,D,Y,Y,24.5,MPB,BOM,CLOSED,closed,no,1,full,yes,500,unburned
MU68,68,7/8/2016,CEC0780U2,NE1,pico,L,live,live,10.5,LIVE,LIVE,CLOSED,closed,no,live,full,yes,15,unburned
MU68,68,7/8/2016,CEC0780U2,NE2,pico,D,Y,Y,15.5,MPB,BOM,CLOSED,closed,no,1,full,yes,90,unburned
MU68,68,7/8/2016,CEC0780U2,NE6,pico,L,live,live,12.5,LIVE,LIVE,OPENED,open,yes,live,full,yes,30,unburned
MU68,68,7/8/2016,CEC0780U2,NW1,pico,D,Y,Y,21.5,MPB,BOM,CLOSED,closed,no,1,full,yes,300,unburned
MU68,68,7/8/2016,CEC0780U2,NW2,pico,D,Y,Y,19,MPB,BOM,CLOSED,closed,no,1,full,yes,70,unburned
MU68,68,7/8/2016,CEC0780U2,NW4,pico,D,Y,Y,17,MPB,BOM,CLOSED,closed,no,1,full,yes,250,unburned
MU68,68,7/8/2016,CEC0780U2,NW7,pico,D,Y,Y,21.5,MPB,BOM,CLOSED,closed,no,1,full,yes,50,unburned
MU68,68,7/8/2016,CEC0780U2,SE1,pico,D,Y,Y,19,MPB,BOM,CLOSE,closed,no,1,full,yes,120,unburned
MU68,68,7/8/2016,CEC0780U2,SW1,pico,L,live,live,14,LIVE,LIVE,CLOSED,closed,no,live,full,yes,25,unburned
MU68,68,7/8/2016,CEC0780U2,SW2,pico,D,Y,Y,12,MPB,BOM,CLOSED,closed,no,1,full,yes,5,unburned
MU68,68,7/8/2016,CEC0780U2,SW4,pico,D,Y,Y,14.5,MPB,BOM,CLOSED,closed,no,1,full,yes,100,unburned
MU68,68,7/8/2016,CEC0780U2,SW5,pico,D,Y,Y,16,MPB,BOM,CLOSED,closed,no,1,full,yes,100,unburned
MU68,68,7/8/2016,CEC0780U2,SW8,pico,L,live,live,11.5,LIVE,LIVE,CLOSED,closed,no,live,full,yes,5,unburned
MU69,69,7/8/2016,CEC0708U3,NW1,pico,D,Y,Y,24,MPB,BOM,OPENED,open,yes,1,full,yes,70,unburned
MU69,69,7/8/2016,CEC0708U3,SW2,pico,D,Y,Y,26.5,MPB,BOM,CLOSED,closed,no,1,full,yes,200,unburned
HU70,70,7/11/2016,EF0711U1,NE2,pico,D,O,Y,14,OPF,BOM,CLOSED,closed,no,1,full,yes,45,unburned
HU70,70,7/11/2016,EF0711U1,NW1,pico,D,Y,Y,20,MPB,BOM,CLOSED,closed,no,1,full,yes,600,unburned
HU70,70,7/11/2016,EF0711U1,SE1,pico,D,Y,Y,16.5,MPB,BOM,CLOSED,closed,no,1,full,yes,400,unburned
HU70,70,7/11/2016,EF0711U1,SE2,pico,D,Y,Y,20,MPB,BOM,OPEN,open,yes,1,full,yes,220,unburned
HU70,70,7/11/2016,EF0711U1,SW1,pico,D,Y,Y,20.5,MPB,BOM,CLOSED,closed,no,1,full,yes,300,unburned
HU71,71,7/11/2016,EF0711U2,NE1,pico,L,live,live,14,LIVE,LIVE,CLOSED,closed,no,LIVE,full,yes,60,unburned
HU71,71,7/11/2016,EF0711U2,NE2,pico,D,Y,Y,22,MPB,BOM,CLOSED,closed,no,1,full,yes,170,unburned
