plot,stems,FIRE,MPB,UNK,OPF,LIVE,DC1,DC2,DC3,DC4,full,live,none,partial,DBH_mean,scorch_mean,height_mean,cones_mean,Plot_ID,vis_FE,UTM_E,UTM_N,Fire_id,Burndate,Terrain_SD,temp,rh,ws,precip,ffmc,dmc,dc,isi,bui,fwi,PFM,GV.sur,char.sur,soil.sur,litter.sur,rock.sur,dwood.sur,cwd.sur,other.sur,deadveg.sur,duff.dpth,seed.sub,seed.quad,elevation,aspect,slope
24,12,16.7,75.0,0.0,8.3,0.0,58.3,41.7,0.0,0.0,50.0,50.0,0.0,0.0,18.5,7.0,1.1,218.6,EF0711L2,low,329687,5898507,R10171_2012,251,-0.11,25.1,25,4.8,0,92.7,82.3,613.2,8,123.3,29.6,83.3,83.5,5.25,0,11.25,0,0,0,0,0,1.0,0,16.5,968,290,1
25,4,25.0,0.0,0.0,75.0,0.0,25.0,0.0,75.0,0.0,0.0,25.0,75.0,0.0,11.5,97.5,7.9,1.3,EF0712H1,high,332071,5900084,R10171_2012,217,0.33,27.7,31,8.8,0,91.7,41.2,426.6,8.5,66.4,22.9,75.0,37,3.25,27.5,8,24.5,0,0,0,0,0.0,1,52,949,195,0
26,19,31.6,0.0,0.0,68.4,0.0,26.3,10.5,73.7,5.3,15.8,10.5,73.7,0.0,11.2,97.4,7.5,36.8,EF0713H1,high,329290,5898387,R10171_2012,257,0.33,24.4,22,9.5,0,92.7,94.4,641.8,10.1,138.1,36.1,68.4,47.25,21.5,12.5,5,10,3.75,0,0,0,1.1,1.75,52.5,956,220,0
27,12,8.3,58.3,0.0,33.3,0.0,16.7,75.0,25.0,8.3,8.3,83.3,25.0,8.3,16.3,27.5,6.1,51.5,EF0713M1,moderate,329577,5898292,R10171_2012,257,0.11,24.4,22,9.5,0,92.7,94.4,641.8,10.1,138.1,36.1,91.7,41.25,11.5,8,37.25,2,0,0,0,0,0.5,16.25,180.5,980,73,0
28,22,0.0,31.8,4.5,59.1,4.5,22.7,77.3,0.0,0.0,31.8,54.5,9.1,4.5,16.6,3.2,0.8,46.6,EF0713L1,low,330028,5898390,R10171_2012,251,0.14,25.1,25,4.8,0,92.7,82.3,613.2,8,123.3,29.6,90.9,77.25,7.25,0,15.5,0,0,0,0,0,2.6,0.5,6,985,270,0
29,25,84.0,12.0,0.0,4.0,0.0,84.0,16.0,0.0,0.0,72.0,28.0,0.0,0.0,10.3,25.2,2.8,93.3,BA0719M1,moderate,320722,5910776,R10070_2014,216,0.04,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,16.0,10,12.5,3.5,73,1,0,0,0,0,1.3,0.25,3,914,12,10
3,42,50.0,16.7,2.4,23.8,7.1,61.9,38.1,0.0,0.0,40.5,42.9,9.5,7.1,11.0,3.6,0.6,87.3,CEC0701L1,low,334790,5905867,R10070_2014,213,-0.11,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,40.5,49.25,9.375,0,37.875,2.25,0,0,1.25,0,0.9,3.75,NA,1043,165,2
30,9,22.2,55.6,0.0,22.2,0.0,11.1,33.3,22.2,33.3,44.4,55.6,22.2,11.1,14.2,70.0,8.6,68.6,BA0719M2,moderate,320537,5910850,R10070_2014,218,0.07,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,77.8,10.75,43,18,12.25,16,0,0,0,0,0.4,2,35.5,908,340,0
31,6,50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,83.3,16.7,0.0,0.0,12.3,24.7,2.8,136.7,BA0719L1,moderate,320054,5910967,R10070_2014,218,-0.39,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,50.0,16.75,35.25,16.25,25,6.25,0,0,0,0,1.0,0,11,912,289,0
32,15,46.7,26.7,0.0,0.0,26.7,80.0,20.0,0.0,0.0,73.3,0.0,0.0,26.7,12.3,3.3,0.6,66.9,BA0720L1,low,320444,5911090,R10070_2014,218,-0.17,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,26.7,20.75,15.25,2,61.75,0.25,0,0,0,0,1.3,0,0,893,0,1
33,12,41.7,0.0,0.0,58.3,0.0,33.3,25.0,41.7,0.0,33.3,25.0,41.7,0.0,11.5,100.0,8.6,100.4,BA0720H1,high,320356,5911223,R10070_2014,216,-0.19,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,58.3,2.125,5.125,86.75,2,4,0,0,0,0,0.0,0.25,2.5,885,26,1
34,12,8.3,0.0,0.0,91.7,0.0,0.0,8.3,91.7,0.0,0.0,8.3,91.7,0.0,11.5,100.0,8.7,10.4,BA0720H2,high,320365,5910827,R10070_2014,218,-0.11,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,91.7,22.5,33,39.5,0.75,4.25,0,0,0,0,0.7,11.25,257,905,322,1
35,4,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,19.5,23.8,3.0,64.3,BA0720M1,moderate,320554,5911221,R10070_2014,216,0.11,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,100.0,16.75,40,10,29.75,3.5,0,0,0,0,1.0,0.25,12.5,888,43,0
36,31,90.3,3.2,0.0,6.5,0.0,90.3,0.0,9.7,0.0,54.8,38.7,6.5,0.0,10.0,100.0,10.7,78.9,BA0721H1,high,321120,5911034,R10070_2014,215,0.17,26.8,28.3,1.7,0,94.1,72.2,413,8.3,100.5,27.7,9.7,10.75,58.5,26.75,2.25,1.75,0,0,0,0,0.6,0.25,0.5,873,0,5
37,16,6.3,50.0,0.0,43.8,0.0,6.3,93.8,0.0,0.0,31.3,68.8,0.0,0.0,12.6,8.3,2.1,99.4,BA0721L1,low,321082,5910919,R10070_2014,216,0.06,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,93.8,33.75,36,2.5,27.75,0,0,0,0,0,1.4,4.5,61,884,63,0
38,8,25.0,62.5,0.0,12.5,0.0,0.0,25.0,62.5,12.5,25.0,50.0,25.0,0.0,14.9,95.0,10.3,80.4,BA0721H2,high,320815,5911005,R10070_2014,216,0.11,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,75.0,14.25,44.25,39.5,1.5,0.5,0,0,0,0,0.3,0.75,33.5,885,218,6
