plot,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
48,site48,region48,53.316112,-125.700859,887,3,13.8,-8.4,22.2,520,199,24.9,69.5,956,1025,5474,17,148,165,254,89,213,-39.8,32.8,524,273,11.3,60
49,site49,region49,53.315109,-125.715721,901,2.9,13.8,-8.3,22.1,524,199,24.7,69.3,955,1020,5479,17,148,166,254,89,215,-39.8,32.8,523,272,11.2,60
50,site50,region50,53.316058,-125.723801,917,2.9,13.7,-8.3,21.9,525,199,24.6,68.9,953,1008,5491,16,147,166,254,89,216,-39.8,32.7,520,269,11.2,60
51,site51,region51,53.314702,-125.722153,900,2.9,13.8,-8.3,22.1,524,199,24.7,69.2,954,1018,5480,16,148,165,254,89,215,-39.8,32.8,522,271,11.2,60
52,site52,region52,53.307702,-125.710098,966,2.8,13.5,-8.2,21.7,528,201,24.3,67.5,957,984,5525,15,146,167,254,87,219,-39.9,32.3,517,264,11.3,60
53,site53,region53,53.222282,-125.518265,954,2.7,13.5,-8.2,21.6,530,204,24,65.8,972,967,5561,14,139,171,248,77,221,-40.5,32.6,531,273,11,58
54,site54,region54,53.226133,-125.514305,950,2.7,13.5,-8.2,21.7,529,204,24.1,66,972,971,5556,14,140,171,249,78,220,-40.5,32.7,531,273,11,58
55,site55,region55,53.224853,-125.516556,942,2.7,13.5,-8.2,21.7,529,204,24.1,66.3,971,975,5551,14,140,171,249,78,220,-40.5,32.7,532,274,11,58
56,site56,region56,53.21369,-125.529114,947,2.7,13.5,-8.2,21.7,532,204,23.9,65.9,972,970,5557,14,140,171,248,78,222,-40.5,32.7,532,274,11.1,58
57,site57,region57,53.213192,-125.532211,954,2.7,13.4,-8.2,21.6,533,204,23.9,65.8,972,966,5562,14,139,171,248,77,223,-40.6,32.7,532,274,11.1,58
58,site58,region58,53.212755,-125.525688,964,2.7,13.4,-8.2,21.6,533,205,23.8,65.3,975,959,5573,14,138,171,248,77,223,-40.6,32.6,531,272,11.1,58
