plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,killed.by,mortality,canopy.str,cone.op.cl,cone.ct,snag.cwd,preb.ld,preb.sd,pref.ld,pref.sd,postf.ld,postf.sd
LL3,3,7/1/2016,CEC0701L1,SW4,pico,D,O,N,7,0.5,3,1,FIRE,FIRE,full,both,50,snag,live,stand,live,stand,dead,stand
HM4,4,7/2/2016,CEC0702M1,,pigl,D,,,15,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,NW5,pico,D,N,N,19,14,100,1,FIRE,FIRE,full,open,500,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,NW3,pico,D,N,N,16.5,14,100,1,FIRE,FIRE,full,open,150,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,SE4,pico,D,N,N,12,12,100,1,FIRE,FIRE,partial,open,5,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,NW4,pico,D,N,N,12,14,100,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,SE6,pico,D,N,N,12,16,100,1,FIRE,FIRE,partial,open,500,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,NW1,pico,D,N,N,10.5,12,100,1,FIRE,FIRE,full,open,150,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,NE2,pico,D,N,Y,10,8.5,100,1,FIRE,FIRE,partial,open,40,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,NE4,pico,D,N,N,8.5,8.5,100,1,FIRE,FIRE,partial,open,20,snag,live,stand,live,stand,dead,stand
LH5,5,7/2/2016,CEC0702H1,SE5,pico,D,N,N,8,16,100,1,FIRE,FIRE,partial,open,20,snag,live,stand,live,stand,dead,stand
LL6,6,7/3/2016,CEC0703M1,SW3,pico,D,N,N,17.5,2,10,1,FIRE,FIRE,full,closed,400,snag,live,stand,live,stand,dead,stand
LL6,6,7/3/2016,CEC0703M1,SE5,pico,D,O,Y,12.5,0.1,1,1,FIRE,FIRE,full,open,,snag,live,stand,live,stand,dead,stand
LL6,6,7/3/2016,CEC0703M1,NW4,pico,D,N,N,12.5,2,10,1,FIRE,FIRE,full,closed,80,snag,live,stand,live,stand,dead,stand
LL6,6,7/3/2016,CEC0703M1,SE2,pico,D,O,Y,11.5,1.5,5,1,FIRE,FIRE,partial,none,0,snag,live,stand,live,stand,dead,stand
LL6,6,7/3/2016,CEC0703M1,,pigl,D,,,11,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LL6,6,7/3/2016,CEC0703M1,,pigl,D,,,11,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LH10,10,7/5/2016,CEC0705H4,NW2,pico,D,N,N,9.5,10,60,1,FIRE,FIRE,partial,both,150,snag,live,stand,live,stand,dead,stand
LH10,10,7/5/2016,CEC0705H4,SW3,pico,D,N,N,9,6,0,1,FIRE,FIRE,partial,both,20,snag,live,stand,live,stand,dead,stand
