plot,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
41,site41,region41,53.276773,-125.478653,905,2.4,13.4,-9.9,23.3,535,204,23.2,65.8,1067,959,5676,14,139,171,249,78,237,-42.1,32.5,528,274,11,57
42,site42,region42,53.277318,-125.490479,914,2.4,13.4,-9.9,23.2,542,206,22.9,64.9,1065,951,5683,13,138,171,248,77,240,-42.2,32.5,527,271,11,57
43,site43,region43,53.278132,-125.480324,905,2.4,13.4,-9.9,23.3,537,204,23.1,65.7,1067,958,5678,14,139,171,248,78,238,-42.2,32.5,528,274,10.9,57
44,site44,region44,53.280347,-125.479324,907,2.4,13.4,-9.9,23.3,536,205,23.1,65.6,1070,955,5684,14,139,171,248,78,238,-42.2,32.5,528,274,10.9,57
45,site45,region45,53.281909,-125.476418,894,2.4,13.5,-9.9,23.4,534,204,23.3,65.9,1068,964,5672,14,139,170,248,78,236,-42.1,32.6,529,276,10.9,57
46,site46,region46,53.308827,-125.707275,900,2.4,13.4,-10,23.4,538,198,23.1,67.6,1063,956,5671,14,144,167,253,86,241,-41.4,32.2,512,265,11.2,60
47,site47,region47,53.316343,-125.703384,881,2.4,13.4,-10.1,23.5,534,197,23.3,68.2,1065,967,5661,14,145,167,253,86,239,-41.4,32.3,514,268,11.2,60
48,site48,region48,53.316112,-125.700859,887,2.4,13.4,-10,23.4,534,197,23.3,68.1,1065,963,5665,14,144,167,253,86,239,-41.4,32.3,513,267,11.2,60
49,site49,region49,53.315109,-125.715721,901,2.4,13.4,-10,23.4,538,197,23.1,67.8,1063,958,5670,14,144,167,253,86,242,-41.4,32.2,512,266,11.2,60
50,site50,region50,53.316058,-125.723801,917,2.4,13.3,-9.9,23.2,539,197,23,67.5,1062,946,5682,13,144,168,253,86,243,-41.4,32.1,509,263,11.2,60
51,site51,region51,53.314702,-125.722153,900,2.4,13.4,-10,23.3,538,197,23.1,67.8,1062,956,5671,14,144,167,253,86,241,-41.4,32.2,511,265,11.2,60
52,site52,region52,53.307702,-125.710098,966,2.3,13.1,-9.9,23,542,199,22.7,66,1065,922,5715,12,142,169,253,84,246,-41.5,31.7,506,258,11.2,60
53,site53,region53,53.222282,-125.518265,954,2.2,13.1,-9.9,23,544,203,22.4,64.3,1081,907,5751,12,135,173,247,74,248,-42.2,32.1,520,267,11,58
54,site54,region54,53.226133,-125.514305,950,2.2,13.1,-9.9,23,543,203,22.5,64.5,1081,911,5746,12,136,173,247,74,247,-42.1,32.1,520,267,11,58
55,site55,region55,53.224853,-125.516556,942,2.2,13.1,-9.9,23.1,543,202,22.5,64.8,1081,915,5741,12,136,173,247,75,247,-42.1,32.1,521,268,11,58
56,site56,region56,53.21369,-125.529114,947,2.2,13.1,-9.9,23,546,203,22.3,64.4,1081,910,5747,12,136,173,247,74,249,-42.2,32.1,521,268,11.1,58
57,site57,region57,53.213192,-125.532211,954,2.2,13,-9.9,22.9,546,203,22.3,64.3,1081,906,5752,12,135,173,247,74,249,-42.2,32.1,521,268,11.1,58
58,site58,region58,53.212755,-125.525688,964,2.2,13,-9.9,22.9,547,204,22.2,63.8,1084,899,5768,11,135,174,247,73,250,-42.3,32.1,520,267,11.1,58
59,site59,region59,53.209107,-125.547127,954,2.2,13,-9.9,22.9,547,203,22.3,64.3,1078,906,5748,12,136,173,247,74,250,-42.1,32.1,520,267,11.1,58
60,site60,region60,53.208552,-125.550346,962,2.2,13,-9.9,22.9,548,203,22.2,64.1,1079,900,5756,11,135,173,247,74,251,-42.1,32,520,266,11.1,58
61,site61,region61,53.223473,-125.515518,928,2.2,13.2,-10,23.1,542,202,22.6,65.2,1079,924,5729,12,137,172,248,76,246,-42,32.2,522,269,11,58
62,site62,region62,53.207347,-125.556221,939,2.2,13.1,-9.9,23,545,201,22.4,65.4,1078,916,5737,12,137,172,248,75,249,-42,32.1,521,270,11.2,58
63,site63,region63,53.206586,-125.55188,970,2.1,13,-9.9,22.8,547,202,22.2,64.1,1080,895,5769,11,134,174,247,73,251,-42.2,32,519,267,11.1,58
64,site64,region64,53.207611,-125.545181,1045,2,12.6,-9.7,22.4,549,205,21.8,61.6,1091,846,5842,10,129,176,244,68,256,-42.7,31.8,515,260,11.1,57
65,site65,region65,53.207152,-125.549362,1050,1.9,12.6,-9.7,22.3,550,205,21.7,61.5,1091,843,5846,10,129,176,244,68,257,-42.7,31.7,514,259,11.1,57
66,site66,region66,53.206691,-125.547005,1023,2,12.7,-9.8,22.5,548,204,21.9,62.3,1087,860,5820,10,131,175,245,70,255,-42.5,31.8,516,262,11.1,57
67,site67,region67,53.278832,-126.107193,1044,2,12.8,-9.9,22.7,621,191,19.3,66.9,1102,871,5826,11,141,170,254,84,310,-40.8,31.4,490,243,11.4,62
68,site68,region68,53.277665,-126.110214,1050,2,12.7,-9.9,22.6,623,192,19.2,66.3,1104,867,5833,11,141,170,254,84,311,-40.8,31.3,489,241,11.5,62
69,site69,region69,53.275413,-126.099686,1057,2,12.7,-9.9,22.6,625,190,19.1,66.8,1104,865,5836,10,141,170,254,84,313,-40.8,31.3,488,241,11.5,62
70,site70,region70,53.276069,-126.098213,978,2.2,13,-9.9,22.9,579,184,21,70.8,1082,905,5760,12,142,169,254,84,279,-40.9,31.8,500,262,11.2,61
71,site71,region71,53.276222,-126.104141,987,2.1,13,-9.9,22.8,585,185,20.8,70,1084,900,5769,12,142,169,254,84,283,-40.9,31.8,499,259,11.2,61
72,site72,region72,53.275861,-126.114433,928,2.3,13.2,-9.9,23.1,556,180,22.2,73,1068,931,5707,13,143,169,253,84,261,-40.9,32.2,507,274,11,60
73,site73,region73,53.27152,-126.136147,914,2.3,13.2,-9.9,23.2,546,178,22.6,74.5,1066,939,5695,13,143,169,253,85,256,-40.9,32.3,509,279,11,60
74,site74,region74,53.26978,-126.135223,916,2.3,13.2,-9.9,23.1,546,178,22.6,74.4,1066,938,5697,13,143,169,253,85,256,-40.9,32.3,509,279,10.9,60
75,site75,region75,53.271309,-126.132614,901,2.4,13.3,-9.9,23.2,541,177,22.9,75.1,1064,945,5685,13,144,169,253,84,253,-40.9,32.4,511,282,11,60
76,site76,region76,53.276979,-126.093849,921,2.3,13.2,-9.9,23.1,546,179,22.6,73.7,1066,934,5701,13,143,169,253,84,256,-40.9,32.2,508,277,11,60
77,site77,region77,53.277818,-126.096893,947,2.3,13.1,-9.9,23,560,181,21.9,72.4,1074,920,5726,12,143,169,253,84,266,-40.9,32,504,270,11,61
78,site78,region78,53.280177,-126.096283,920,2.3,13.2,-9.9,23.1,544,179,22.7,73.9,1067,934,5702,13,143,169,253,84,254,-40.9,32.2,508,277,10.9,60
79,site79,region79,53.275418,-126.099548,951,2.2,13.1,-9.9,23,563,181,21.8,72.2,1074,918,5729,12,143,169,253,84,267,-40.9,32,504,269,11,61
80,site80,region80,53.262046,-126.083687,893,2.4,13.3,-9.9,23.2,531,179,23.3,74.3,1061,947,5679,13,144,169,253,84,244,-41.1,32.4,512,282,10.6,60
81,site81,region81,53.262302,-126.088997,912,2.3,13.2,-9.9,23.1,533,179,23.2,74,1063,938,5693,13,143,169,253,85,247,-41.1,32.3,510,280,10.6,60
82,site82,region82,53.276684,-126.093178,930,2.3,13.2,-9.9,23,552,180,22.3,73.1,1068,929,5710,13,143,169,253,84,260,-40.9,32.1,507,274,11.1,61
83,site83,region83,53.26506,-126.088509,915,2.3,13.2,-9.9,23.1,534,179,23.1,73.9,1064,937,5696,13,143,169,253,84,248,-41.1,32.2,509,279,10.6,60
